,XVal,YVal,ZVal,time
0,-6.28,-7.75,-2.16,1.407285451889038
1,-6.47,-7.75,-2.16,1.464735984802246
2,-6.47,-7.75,-2.16,1.4667301177978516
3,-6.47,-7.75,-2.16,1.4677281379699707
4,-6.47,-7.75,-2.16,1.4697222709655762
5,-6.28,-7.75,-2.16,1.4697222709655762
6,-6.28,-7.75,-2.16,1.4727146625518799
7,-6.18,-7.75,-2.16,1.474928617477417
8,-6.47,-7.75,-2.16,1.474928617477417
9,-6.47,-7.75,-2.16,1.4779224395751953
10,-6.47,-7.75,-2.16,1.4779224395751953
11,-6.47,-7.75,-2.16,1.4809157848358154
12,-6.47,-7.75,-2.16,1.48291015625
13,-6.47,-7.75,-2.16,1.4839069843292236
14,-6.47,-7.75,-2.16,1.4859020709991455
15,-6.47,-7.85,-2.16,1.4859020709991455
16,-6.47,-7.75,-2.16,1.488893985748291
17,-6.47,-7.75,-2.16,1.4908888339996338
18,-6.47,-7.75,-1.96,1.4918854236602783
19,-6.47,-7.75,-1.96,1.4939203262329102
20,-6.47,-7.75,-2.16,1.4949190616607666
21,-6.47,-7.75,-1.96,1.4968717098236084
22,-6.47,-7.75,-2.16,1.4988675117492676
23,-6.47,-7.85,-1.86,1.4998657703399658
24,-6.28,-7.85,-2.16,1.5018584728240967
25,-6.28,-7.75,-2.16,1.5028576850891113
26,-6.47,-7.75,-2.16,1.5048513412475586
27,-6.47,-7.75,-1.96,1.5078439712524414
28,-6.47,-7.75,-1.96,1.5078439712524414
29,-6.47,-7.75,-2.16,1.5108366012573242
30,-6.47,-7.85,-2.16,1.5108366012573242
31,-6.47,-7.75,-2.16,1.5128295421600342
32,-6.47,-7.75,-2.16,1.5138282775878906
33,-6.47,-7.75,-2.16,1.5168190002441406
34,-6.28,-7.85,-2.16,1.518845796585083
35,-6.47,-7.75,-2.16,1.518845796585083
36,-6.47,-7.75,-2.16,1.5218052864074707
37,-6.18,-7.75,-1.96,1.5218052864074707
38,-6.47,-7.75,-1.96,1.5238003730773926
39,-6.47,-7.75,-1.96,1.5267918109893799
40,-6.47,-7.75,-1.96,1.5267918109893799
41,-6.47,-7.75,-2.16,1.5297837257385254
42,-6.47,-7.75,-2.16,1.5297837257385254
43,-6.47,-7.75,-2.16,1.5327768325805664
44,-6.47,-7.75,-2.16,1.5347952842712402
45,-6.47,-7.75,-2.16,1.5347952842712402
46,-6.47,-7.75,-2.16,1.5377633571624756
47,-6.47,-7.85,-1.96,1.5377633571624756
48,-6.47,-7.85,-2.16,1.5407545566558838
49,-6.47,-7.75,-2.16,1.5427498817443848
50,-6.28,-7.75,-2.16,1.5437476634979248
51,-6.47,-7.75,-2.16,1.5457642078399658
52,-6.28,-7.75,-2.16,1.5457642078399658
53,-6.47,-7.75,-2.16,1.548734426498413
54,-6.47,-7.75,-2.16,1.5507526397705078
55,-6.47,-7.75,-2.16,1.5517253875732422
56,-6.47,-7.75,-2.16,1.5537199974060059
57,-6.47,-7.75,-2.16,1.5547184944152832
58,-6.47,-7.75,-2.16,1.5567119121551514
59,-6.47,-7.75,-2.16,1.5587077140808105
60,-6.47,-7.75,-2.16,1.559704303741455
61,-6.47,-7.75,-2.16,1.561699390411377
62,-6.28,-7.75,-2.16,1.5636944770812988
63,-6.47,-7.75,-2.16,1.5646932125091553
64,-6.28,-7.75,-2.16,1.5656883716583252
65,-6.47,-7.75,-1.96,1.5676841735839844
66,-6.47,-7.75,-2.16,1.5706748962402344
67,-6.47,-7.75,-2.16,1.5716726779937744
68,-6.47,-7.75,-2.16,1.5726699829101562
69,-6.47,-7.75,-2.16,1.573667287826538
70,-6.47,-7.75,-2.16,1.5756614208221436
71,-6.47,-7.75,-2.16,1.5786561965942383
72,-6.47,-7.75,-2.16,1.5786561965942383
73,-6.47,-7.75,-2.16,1.5806505680084229
74,-6.47,-7.75,-2.16,1.5816454887390137
75,-6.47,-7.75,-2.16,1.583672285079956
76,-6.47,-7.75,-2.16,1.5866341590881348
77,-6.47,-7.75,-2.16,1.5866341590881348
78,-6.47,-7.75,-2.16,1.5896239280700684
79,-6.28,-7.75,-2.16,1.5896239280700684
80,-6.47,-7.75,-2.16,1.5916192531585693
81,-6.47,-7.75,-2.16,1.594611644744873
82,-6.47,-7.75,-1.96,1.5956087112426758
83,-6.47,-7.75,-2.16,1.5976030826568604
84,-6.47,-7.75,-2.16,1.5976030826568604
85,-6.47,-7.75,-2.16,1.6006205081939697
86,-6.47,-7.85,-2.16,1.6026146411895752
87,-6.28,-7.85,-2.16,1.6035892963409424
88,-6.28,-7.85,-2.16,1.605581283569336
89,-6.28,-7.75,-2.16,1.605581283569336
90,-6.47,-7.75,-2.16,1.6085736751556396
91,-6.47,-7.75,-2.16,1.6105685234069824
92,-6.47,-7.85,-1.96,1.6115663051605225
93,-6.47,-7.75,-2.16,1.613560676574707
94,-6.47,-7.75,-2.16,1.613560676574707
95,-6.47,-7.75,-2.16,1.6165528297424316
96,-6.47,-7.75,-2.16,1.6165528297424316
97,-6.47,-7.75,-2.16,1.6195459365844727
98,-6.47,-7.75,-2.16,1.621565341949463
99,-6.28,-7.75,-2.16,1.6225380897521973
100,-6.47,-7.75,-2.16,1.6251282691955566
101,-6.47,-7.75,-2.16,1.6261281967163086
102,-6.47,-7.75,-2.16,1.6271233558654785
103,-6.28,-7.75,-2.26,1.630150318145752
104,-6.28,-7.75,-2.16,1.630150318145752
105,-6.28,-7.75,-2.16,1.6331074237823486
106,-6.28,-7.75,-2.16,1.6331074237823486
107,-6.28,-7.75,-2.16,1.6351017951965332
108,-6.47,-7.75,-2.16,1.6380939483642578
109,-6.47,-7.75,-2.16,1.6380939483642578
110,-6.47,-7.75,-2.16,1.6420834064483643
111,-6.28,-7.75,-2.16,1.6430811882019043
112,-6.47,-7.75,-2.16,1.6430811882019043
113,-6.47,-7.75,-2.16,1.6460716724395752
114,-6.47,-7.75,-1.96,1.6470694541931152
115,-6.47,-7.75,-2.16,1.6490647792816162
116,-6.47,-7.75,-2.16,1.6490647792816162
117,-6.47,-7.75,-2.16,1.6520566940307617
118,-6.47,-7.75,-2.16,1.6540513038635254
119,-6.28,-7.75,-2.16,1.65504789352417
120,-6.47,-7.75,-2.16,1.6580402851104736
121,-6.47,-7.75,-2.16,1.6580402851104736
122,-6.47,-7.75,-2.16,1.6600356101989746
123,-6.47,-7.75,-2.16,1.662029504776001
