,XVal,YVal,ZVal,time
0,-6.96,-7.55,-0.88,1.4126102924346924
1,-7.16,-7.55,-0.88,1.4634754657745361
2,-7.16,-7.55,-0.88,1.4664671421051025
3,-7.16,-7.45,-0.88,1.4664671421051025
4,-7.16,-7.45,-0.88,1.4694604873657227
5,-6.96,-7.45,-0.88,1.4694604873657227
6,-7.16,-7.55,-0.78,1.4724512100219727
7,-6.96,-7.55,-0.88,1.4744856357574463
8,-6.96,-7.55,-0.88,1.475442886352539
9,-7.16,-7.45,-0.88,1.4774372577667236
10,-6.96,-7.45,-0.88,1.4774372577667236
11,-6.96,-7.45,-0.88,1.4804301261901855
12,-7.16,-7.45,-0.88,1.4824244976043701
13,-6.96,-7.45,-0.88,1.4834213256835938
14,-7.16,-7.55,-0.88,1.4854156970977783
15,-7.16,-7.55,-0.88,1.4854156970977783
16,-7.16,-7.55,-0.88,1.4884085655212402
17,-6.96,-7.45,-0.98,1.490403175354004
18,-6.96,-7.45,-0.88,1.4914000034332275
19,-6.96,-7.45,-0.88,1.4933950901031494
20,-7.16,-7.45,-0.88,1.4943921566009521
21,-6.96,-7.45,-0.88,1.496410846710205
22,-7.16,-7.45,-0.88,1.4993793964385986
23,-6.96,-7.45,-0.78,1.4993793964385986
24,-6.96,-7.45,-0.88,1.5013737678527832
25,-6.96,-7.45,-0.88,1.5023705959320068
26,-6.96,-7.45,-0.88,1.5043649673461914
27,-6.96,-7.45,-0.88,1.5073573589324951
28,-6.96,-7.45,-0.88,1.5073573589324951
29,-6.96,-7.45,-0.88,1.5099427700042725
30,-7.16,-7.45,-0.88,1.5099427700042725
31,-6.96,-7.45,-0.88,1.5129351615905762
32,-6.96,-7.45,-0.88,1.5129351615905762
33,-6.96,-7.55,-0.88,1.5159263610839844
34,-7.16,-7.45,-0.88,1.5179448127746582
35,-6.96,-7.45,-0.88,1.518918752670288
36,-6.96,-7.55,-0.88,1.5209128856658936
37,-7.16,-7.45,-0.88,1.5219101905822754
38,-7.16,-7.45,-0.88,1.5239057540893555
39,-7.16,-7.45,-0.78,1.5259253978729248
40,-7.16,-7.45,-0.88,1.5268964767456055
41,-6.96,-7.55,-0.88,1.5288913249969482
42,-7.16,-7.45,-0.88,1.52988862991333
43,-6.96,-7.45,-0.88,1.5318830013275146
44,-7.16,-7.45,-0.98,1.5348749160766602
45,-7.16,-7.45,-0.88,1.5348749160766602
46,-6.96,-7.45,-0.88,1.536902666091919
