,XVal,YVal,ZVal
187,-6.86,-7.45,-1.47
188,-6.96,-7.45,-1.47
189,-6.96,-7.45,-1.47
190,-6.96,-7.45,-1.47
191,-6.96,-7.45,-1.47
192,-6.96,-7.45,-1.57
193,-6.96,-7.45,-1.57
194,-6.96,-7.45,-1.47
195,-6.96,-7.45,-1.47
196,-6.96,-7.45,-1.47
197,-6.96,-7.45,-1.57
198,-6.96,-7.45,-1.47
199,-6.86,-7.45,-1.47
200,-6.96,-7.45,-1.47
201,-6.96,-7.45,-1.47
202,-6.86,-7.45,-1.47
203,-6.96,-7.45,-1.47
204,-6.96,-7.45,-1.47
205,-6.96,-7.45,-1.47
206,-6.96,-7.45,-1.47
207,-6.96,-7.45,-1.47
208,-6.96,-7.45,-1.47
209,-6.96,-7.45,-1.47
210,-6.96,-7.45,-1.47
211,-6.86,-7.45,-1.47
212,-6.96,-7.45,-1.47
213,-6.96,-7.45,-1.47
214,-6.77,-7.45,-1.47
215,-6.96,-7.45,-1.47
216,-6.96,-7.26,-1.47
217,-6.96,-7.26,-1.47
218,-6.96,-7.45,-1.47
219,-6.86,-7.45,-1.47
220,-6.96,-7.45,-1.47
221,-6.96,-7.45,-1.47
222,-6.96,-7.26,-1.47
223,-6.96,-7.26,-1.47
224,-6.96,-7.45,-1.47
225,-6.96,-7.45,-1.47
226,-6.96,-7.45,-1.47
227,-6.96,-7.45,-1.47
228,-6.96,-7.45,-1.47
229,-6.96,-7.45,-1.47
230,-6.96,-7.45,-1.47
231,-6.96,-7.45,-1.47
232,-6.96,-7.45,-1.47
233,-6.86,-7.45,-1.47
234,-6.96,-7.45,-1.47
235,-6.86,-7.45,-1.47
236,-6.86,-7.45,-1.47
237,-6.96,-7.45,-1.47
238,-6.86,-7.45,-1.47
239,-6.96,-7.45,-1.47
240,-6.96,-7.45,-1.47
241,-6.96,-7.45,-1.47
242,-6.96,-7.45,-1.47
243,-6.96,-7.45,-1.47
244,-6.96,-7.45,-1.47
245,-6.96,-7.45,-1.47
246,-6.96,-7.45,-1.47
247,-6.96,-7.45,-1.47
248,-6.96,-7.45,-1.47
249,-6.96,-7.26,-1.47
250,-6.96,-7.45,-1.47
251,-6.96,-7.45,-1.47
252,-6.96,-7.45,-1.47
253,-6.96,-7.45,-1.57
254,-6.86,-7.45,-1.47
255,-6.96,-7.45,-1.47
256,-6.96,-7.45,-1.47
257,-6.96,-7.45,-1.47
258,-6.86,-7.26,-1.47
259,-6.96,-7.45,-1.47
260,-6.86,-7.45,-1.47
261,-6.96,-7.45,-1.47
262,-6.96,-7.45,-1.47
263,-6.86,-7.45,-1.57
264,-6.96,-7.45,-1.47
265,-6.86,-7.45,-1.47
266,-6.86,-7.45,-1.47
267,-6.86,-7.45,-1.47
268,-6.96,-7.45,-1.47
269,-6.96,-7.45,-1.47
270,-6.86,-7.45,-1.47
271,-6.96,-7.45,-1.47
272,-6.96,-7.45,-1.57
273,-6.96,-7.45,-1.47
274,-6.96,-7.45,-1.47
275,-6.86,-7.45,-1.47
276,-6.96,-7.45,-1.47
277,-6.96,-7.26,-1.47
278,-6.86,-7.45,-1.47
279,-6.96,-7.45,-1.47
280,-6.96,-7.45,-1.47
281,-6.96,-7.55,-1.47
282,-6.96,-7.45,-1.47
283,-6.86,-7.45,-1.47
284,-6.96,-7.45,-1.47
285,-6.96,-7.45,-1.57
286,-6.96,-7.45,-1.57
287,-6.96,-7.45,-1.47
288,-6.86,-7.45,-1.57
289,-6.86,-7.45,-1.47
290,-6.86,-7.45,-1.47
291,-6.96,-7.45,-1.47
292,-6.96,-7.45,-1.47
293,-6.96,-7.45,-1.57
294,-6.86,-7.45,-1.57
295,-6.96,-7.45,-1.47
296,-6.96,-7.45,-1.47
297,-6.96,-7.45,-1.47
298,-6.96,-7.45,-1.47
299,-6.96,-7.45,-1.57
300,-6.96,-7.26,-1.47
301,-6.96,-7.45,-1.47
302,-6.96,-7.45,-1.47
303,-6.77,-7.45,-1.47
304,-6.96,-7.45,-1.47
305,-6.96,-7.45,-1.47
306,-6.96,-7.45,-1.47
307,-6.96,-7.45,-1.57
308,-6.96,-7.45,-1.47
309,-6.96,-7.45,-1.47
310,-6.96,-7.45,-1.47
311,-6.96,-7.45,-1.57
312,-6.96,-7.45,-1.57
313,-6.86,-7.45,-1.57
314,-6.86,-7.45,-1.47
315,-6.86,-7.45,-1.47
316,-6.96,-7.45,-1.47
317,-6.96,-7.45,-1.47
318,-6.96,-7.26,-1.47
319,-6.96,-7.45,-1.47
320,-6.96,-7.45,-1.47
321,-6.96,-7.45,-1.47
322,-6.96,-7.45,-1.47
323,-6.96,-7.45,-1.47
