,XVal,YVal,ZVal,time
0,-6.86,-7.45,-1.47,1.4120266437530518
1,-6.96,-7.45,-1.57,1.4637186527252197
2,-6.96,-7.45,-1.47,1.4667749404907227
3,-6.96,-7.45,-1.57,1.4671845436096191
4,-6.96,-7.45,-1.47,1.4697039127349854
5,-6.86,-7.45,-1.57,1.4700956344604492
6,-6.86,-7.45,-1.57,1.4716246128082275
7,-6.86,-7.45,-1.57,1.4746201038360596
8,-6.86,-7.45,-1.57,1.4746201038360596
9,-6.86,-7.45,-1.57,1.4774487018585205
10,-6.96,-7.45,-1.57,1.4774487018585205
11,-6.86,-7.45,-1.57,1.4805102348327637
12,-6.96,-7.45,-1.57,1.4831998348236084
13,-6.86,-7.45,-1.57,1.483583927154541
14,-6.86,-7.45,-1.57,1.4855804443359375
15,-6.96,-7.45,-1.57,1.4855804443359375
16,-6.96,-7.45,-1.57,1.487602710723877
17,-6.96,-7.45,-1.57,1.4912917613983154
18,-6.96,-7.26,-1.57,1.4912917613983154
19,-6.96,-7.45,-1.57,1.4935219287872314
20,-6.96,-7.45,-1.57,1.4935219287872314
21,-6.96,-7.45,-1.57,1.4961440563201904
22,-6.96,-7.45,-1.57,1.4991309642791748
23,-6.96,-7.45,-1.67,1.499626874923706
24,-6.96,-7.45,-1.57,1.50193452835083
25,-6.96,-7.45,-1.57,1.50193452835083
26,-6.86,-7.45,-1.57,1.504929780960083
27,-6.96,-7.45,-1.57,1.507561445236206
28,-6.96,-7.45,-1.57,1.5080864429473877
29,-6.96,-7.45,-1.57,1.5102927684783936
30,-6.96,-7.26,-1.57,1.5102927684783936
31,-6.96,-7.26,-1.57,1.5131051540374756
32,-6.96,-7.45,-1.57,1.5131051540374756
33,-6.96,-7.45,-1.57,1.5155248641967773
34,-6.96,-7.45,-1.57,1.5175209045410156
35,-6.96,-7.45,-1.57,1.5185184478759766
36,-6.96,-7.45,-1.57,1.5206327438354492
37,-6.96,-7.26,-1.57,1.5218477249145508
38,-6.96,-7.26,-1.57,1.5234017372131348
39,-6.96,-7.26,-1.57,1.5263991355895996
40,-6.96,-7.45,-1.57,1.5263991355895996
41,-6.86,-7.26,-1.57,1.5289745330810547
42,-6.86,-7.26,-1.57,1.5289745330810547
43,-6.77,-7.26,-1.57,1.5320966243743896
44,-6.96,-7.45,-1.57,1.535717487335205
45,-6.96,-7.16,-1.57,1.5367155075073242
46,-6.96,-7.45,-1.57,1.5367155075073242
47,-6.96,-7.45,-1.57,1.5367155075073242
48,-6.86,-7.45,-1.57,1.5397369861602783
49,-6.96,-7.45,-1.57,1.5425136089324951
50,-6.96,-7.45,-1.47,1.542999267578125
51,-6.86,-7.45,-1.57,1.5453810691833496
52,-6.96,-7.26,-1.57,1.5453810691833496
53,-6.96,-7.26,-1.57,1.547562837600708
54,-6.96,-7.26,-1.57,1.5516371726989746
55,-6.96,-7.45,-1.57,1.5519447326660156
56,-6.96,-7.45,-1.57,1.5532774925231934
57,-6.96,-7.26,-1.57,1.5532774925231934
58,-6.86,-7.45,-1.57,1.5559208393096924
59,-6.96,-7.45,-1.57,1.5587468147277832
60,-6.96,-7.45,-1.57,1.5593345165252686
61,-6.96,-7.26,-1.57,1.561917781829834
62,-6.96,-7.45,-1.57,1.561917781829834
63,-6.96,-7.45,-1.57,1.5646429061889648
64,-6.96,-7.26,-1.57,1.565643310546875
65,-6.96,-7.45,-1.57,1.5675179958343506
66,-6.86,-7.45,-1.57,1.5700984001159668
67,-6.96,-7.45,-1.57,1.5700984001159668
68,-6.96,-7.26,-1.57,1.572718620300293
69,-6.96,-7.26,-1.57,1.572718620300293
70,-6.96,-7.26,-1.57,1.5755765438079834
71,-6.96,-7.45,-1.57,1.5779168605804443
72,-6.96,-7.45,-1.57,1.5779168605804443
73,-6.86,-7.45,-1.57,1.5811247825622559
74,-6.96,-7.45,-1.57,1.581958293914795
75,-6.96,-7.45,-1.57,1.5832006931304932
76,-6.96,-7.26,-1.57,1.5859367847442627
77,-6.96,-7.26,-1.47,1.5859367847442627
78,-6.96,-7.26,-1.57,1.589155673980713
79,-6.96,-7.45,-1.57,1.589155673980713
80,-6.96,-7.26,-1.57,1.5918996334075928
81,-6.96,-7.45,-1.57,1.5938496589660645
82,-6.96,-7.45,-1.57,1.5947096347808838
83,-6.96,-7.45,-1.57,1.5972495079040527
84,-6.96,-7.45,-1.57,1.5976333618164062
85,-6.96,-7.26,-1.57,1.6000406742095947
86,-6.96,-7.45,-1.57,1.602522611618042
87,-6.86,-7.45,-1.57,1.602907657623291
88,-6.96,-7.45,-1.57,1.6047475337982178
89,-6.86,-7.55,-1.57,1.6056973934173584
90,-6.96,-7.45,-1.57,1.607846736907959
91,-6.96,-7.45,-1.57,1.6098990440368652
92,-6.86,-7.45,-1.57,1.6108992099761963
93,-6.96,-7.45,-1.57,1.6125142574310303
94,-6.96,-7.26,-1.57,1.613515853881836
95,-6.96,-7.45,-1.57,1.6158387660980225
96,-6.96,-7.45,-1.57,1.6158387660980225
97,-6.96,-7.26,-1.57,1.6191527843475342
98,-6.96,-7.26,-1.57,1.620906114578247
99,-6.96,-7.45,-1.57,1.6218805313110352
100,-6.86,-7.26,-1.57,1.6241376399993896
101,-6.96,-7.45,-1.57,1.6247451305389404
102,-6.96,-7.45,-1.57,1.6270487308502197
103,-6.96,-7.45,-1.57,1.6298527717590332
104,-6.96,-7.26,-1.57,1.6302282810211182
105,-6.96,-7.45,-1.57,1.631913185119629
106,-6.96,-7.26,-1.57,1.6330716609954834
